aaer	0	100
aaexab	1	110
abgabt-ogt	2	140
acca	3	78
accb	4	109
accd	5	78
acebak	6	371
acka-pta	7	31
acna	8	270
acnb	9	138
acrab	10	413
acrd	11	293
acref	12	13
acrr	13	30
acrz	14	113
acs-yjch-actp	15	135
ada	16	72
add	17	1
aded	18	10
adhe	19	267
adia	20	260
adiy	21	10
aer	22	133
agar	23	30
agas-kbay-agabcdi	24	30
agp	25	110
ahpcf	26	40
aidb	27	256
alaa-yfbr	28	69
alac	29	25
alae	30	167
alas	31	30
alawx	32	64
alda	33	345
aldb	34	149
alka	35	38
alla	36	436
alldce	37	290
allr	38	-1
alls	39	436
alsr	40	30
amia-hemf	41	310
amn	42	78
ampc	43	225
ampde	44	100
ansb	45	153
appcbxa	46	215
appy	47	299
arabad	48	218
arac	49	280
arae-ygea	50	86
arafgh	51	86
araj	52	98
arca	53	131
arcz	54	22
arga	55	30
argcbh	56	30
argd	57	36
arge	58	30
argf	59	30
argg	60	29
argi	61	30
argo	62	162
argp	63	109
argr	64	30
argu	65	64
argw	66	64
argx-hisr-leut-prom	67	64
arof-tyra	68	48
arog	69	107
aroh	70	30
arol-yaia-arom	71	261
arop	72	50
arsr	73	30
artj	74	30
artpiqm	75	30
ascfb	76	432
ascg	77	-1
asna	78	235
asnb	79	82
asnc	80	66
aspa-dcua	81	168
aspc	82	199
aspv	83	64
asr	84	322
astcadbe	85	276
atoc	86	-1
atodaeb	87	431
avta	88	69
azuc	89	100
baca	90	78
baer	91	93
bama-skp-lpxd-fabz-lpxab-rnhb-dnae	92	111
bame	93	119
basr	94	-1
bcsabzc	95	67
bdca	96	341
bdm-sra	97	274
beti	98	257
bett	99	257
bglgfb	100	212
bhsa	101	16
bioa	102	423
biobfcd	103	423
bira	104	-1
bluf	105	324
blur	106	-1
bola	107	74
bord	108	38
bsss	109	305
btsr	110	-1
btst	111	421
btub-muri	112	81
cadba	113	182
cadc	114	264
caif	115	240
caitabcde	116	237
carab	117	367
casabcde12	118	316
cbl	119	277
cbpam	120	61
ccp	121	42
cdar	122	78
cdd	123	333
cecr	124	30
chbr	125	143
chia	126	10
chipq	127	205
cho	128	30
cira	129	96
citcdefxg	130	297
clppx-lon	131	82
cmk-rpsa-ihfb	132	310
cmom-mukfeb	133	192
codba	134	232
comr	135	100
copa	136	419
cpdb	137	110
cpxpq	138	78
cpxr	139	78
cra	140	79
creb	141	207
crl_1	142	11
crp	143	239
csgbac	144	106
csgd	145	427
csie	146	190
cspa	147	144
cspd	148	191
cspi	149	425
csrb	150	47
csrc	151	141
csta	152	110
cueo	153	419
cuer	154	-1
cuscfba	155	402
cusr	156	402
cvpa-purf-ubix	157	230
cyaa	158	100
cyar	159	4
cydab	160	391
cyddc	161	248
cynr	162	30
cyntsx	163	25
cyoabcde	164	401
cysb	165	72
cysdnc	166	38
cyse	167	39
cysjih	168	394
cysk	169	38
cyspuwam	170	34
cytr	171	198
dacc	172	225
dadax	173	210
dapb	174	0
dcta	175	220
dcub-fumb	176	269
dcuc	177	31
dcud	178	278
dcur	179	168
ddpxabcdf	180	332
decr	181	85
degp	182	76
deocabd	183	418
deor	184	-1
dgcc	185	77
dgcz	186	54
dgka	187	430
dhaklm	188	25
dhar	189	30
dica	190	-1
dicb-ydfde-insd-7-intq	191	415
dicc-ydfxw	192	415
dinb-yafnop	193	30
dind	194	30
ding-ybib	195	30
dini	196	206
dinq	197	30
dkgb	198	341
dmsabc	199	352
dnaa	200	184
dpia	201	298
dppabcdf	202	125
dps	203	359
dsbg	204	1
dsdc	205	243
dsdxa	206	57
dsra	207	88
dtpa	208	70
ebgac	209	414
ebgr	210	-1
ecnab	211	73
ecpa	212	365
ecpr	213	365
edd-eda	214	404
efeu_1u_2	215	79
emrky	216	32
entcebah	217	96
ents	218	189
envr	219	-1
envy	220	-1
envy-ompt	221	38
epd-pgk-fbaa	222	28
erpa	223	30
evga	224	33
exbbd	225	11
exur	226	160
exut	227	284
faba	228	409
fabb	229	409
fabi	230	78
fabr	231	-1
fadba	232	157
fadd-srod	233	2
fade	234	103
fadh	235	139
fadij	236	103
fadl	237	271
fadm	238	79
fadr	239	78
fbab	240	19
fdhf	241	343
fdnghi	242	437
feab	243	339
fear	244	334
fecabcde	245	393
fecir	246	317
feoabc	247	12
fepa-entd	248	96
fepb	249	196
fepdgc	250	11
fes-ybdz-entf-fepe	251	193
fhla	252	338
fhuacdb	253	11
fhue	254	11
fhuf	255	6
fimaicdfgh	256	178
fimb	257	383
fime	258	194
fis	259	372
fiu	260	96
fixabcx	261	112
fldb	262	115
flic	263	363
fliz	264	364
flxa	265	64
fnr	266	374
fnrs	267	67
foca-pflb	268	390
fola	269	46
fole-yeib	270	18
fpr	271	114
frdabcd	272	222
