CXCL16 CXCR6
CCL25 CCR9
EDA EDAR
TNFSF13B TNFRSF13C
IL22 IL22RA2
CCL5 CCR1
CCL16 CCR1
CCL7 CCR1
CCL23 CCR1
CCL15 CCR1
CCL14 CCR1
CCL26 CCR3
CCL15 CCR3
CCL11 CCR3
CCL28 CCR3
CCL13 CCR3
CCL5 CCR3
CCL24 CCR3
CCL8 CCR3
CCL17 CCR4
CCL22 CCR4
CCL4 CCR5
CCL3L1 CCR5
CCL3L3 CCR5
CCL5 CCR5
CCL4L2 CCR5
CCL4L1 CCR5
CCL3 CCR5
CCL20 CCR6
CCL19 CCR7
CCL21 CCR7
CCL1 CCR8
CLCF1 CNTFR
CNTF CNTFR
CSF1 CSF1R
CSF2 CSF2RA
IL5 CSF2RB
IL3 CSF2RB
CSF2 CSF2RB
CSF3 CSF3R
IL23A IL23R
CX3CL1 CX3CR1
IFNL2 IFNLR1
IFNL3 IFNLR1
IFNL1 IFNLR1
EGF EGFR
EPO EPOR
VEGFA FLT1
VEGFB FLT1
FLT3LG FLT3
VEGFC FLT4
FIGF FLT4
TNFSF13B TNFRSF13B
TNFSF13 TNFRSF13B
IL17A IL17RA
AMH AMHR2
GH2 GHR
GH1 GHR
CCL28 CCR10
CCL27 CCR10
XCL1 XCR1
XCL2 XCR1
CXCL11 CXCR3
CXCL9 CXCR3
CXCL10 CXCR3
IFNA6 IFNAR1
IFNA21 IFNAR1
IFNK IFNAR1
IFNA16 IFNAR1
IFNA10 IFNAR1
IFNA7 IFNAR1
IFNA17 IFNAR1
IFNA4 IFNAR1
IFNA13 IFNAR1
IFNB1 IFNAR1
IFNA8 IFNAR1
IFNA14 IFNAR1
IFNA1 IFNAR1
IFNE IFNAR1
IFNW1 IFNAR1
IFNA2 IFNAR1
IFNA5 IFNAR1
IFNA2 IFNAR2
IFNA8 IFNAR2
IFNA7 IFNAR2
IFNB1 IFNAR2
IFNE IFNAR2
IFNA10 IFNAR2
IFNA17 IFNAR2
IFNA16 IFNAR2
IFNA4 IFNAR2
IFNA6 IFNAR2
IFNA1 IFNAR2
IFNW1 IFNAR2
IFNA13 IFNAR2
IFNA21 IFNAR2
IFNK IFNAR2
IFNA5 IFNAR2
IFNA14 IFNAR2
IFNG IFNGR1
IFNG IFNGR2
FASLG FAS
IL1B IL1R1
IL1A IL1R1
IL1B IL1RAP
IL1A IL1RAP
IL2 IL2RA
IL15 IL2RB
IL2 IL2RB
IL15 IL2RG
IL2 IL2RG
IL4 IL2RG
IL9 IL2RG
IL21 IL2RG
IL7 IL2RG
IL3 IL3RA
IL13 IL4R
IL4 IL4R
IL5 IL5RA
IL6 IL6R
IL11 IL6ST
CNTF IL6ST
CLCF1 IL6ST
CTF1 IL6ST
IL6 IL6ST
OSM IL6ST
LIF IL6ST
IL7 IL7R
TSLP IL7R
