source target
RAP1 LSR1
RPN4 LSR1
YAP5 AI1
GCN4 ATP8
YAP5 ATP8
SPT10 BI3
YAP5 BI4
SPT10 OLI1
GCN4 YEL009C
ABF1 RDN25_1
ARO80 RDN25_1
BAS1 RDN25_1
GCN4 RDN25_1
GCR1 RDN25_1
HSF1 RDN25_1
MIG1 RDN25_1
PGD1 RDN25_1
RAP1 RDN25_1
RDR1 RDN25_1
REB1 RDN25_1
SIN4 RDN25_1
SPT2 RDN25_1
STP1 RDN25_1
SWI5 RDN25_1
UME1 RDN25_1
SPT10 SNR11
GCR2 SNR128
MAC1 SNR128
RLM1 SNR128
SPT2 SNR128
SPT10 SNR13
ABF1 SNR14
SPT10 SNR14
FHL1 SNR17A
INO2 SNR17A
RAP1 SNR17A
SFP1 SNR17A
HSF1 SNR18
MSN2 SNR18
MSN4 SNR18
REB1 SNR189
GCR2 SNR190
MAC1 SNR190
RLM1 SNR190
SPT10 SNR190
SPT2 SNR190
PHD1 SNR3
SOK2 SNR3
FHL1 SNR34
REB1 SNR37
YAP6 SNR37
GCR2 SNR40
YAP6 SNR40
REB1 SNR41
GCN4 SNR44
GCR1 SNR44
HSF1 SNR44
RAP1 SNR44
SFP1 SNR44
SPT10 SNR44
RAP1 SNR45
CBF1 SNR47
MET32 SNR47
MET4 SNR47
RAP1 SNR47
SKN7 SNR47
RLM1 SNR49
REB1 SNR51
SPT10 SNR51
ADR1 SNR52
DAL82 SNR52
MET31 SNR52
RLM1 SNR53
CST6 SNR54
SPT10 SNR54
SPT20 SNR54
TUP1 SNR54
ABF1 SNR55
GCR2 SNR55
YAP6 SNR55
MET31 SNR56
SPT10 SNR56
ABF1 SNR57
GCR2 SNR57
YAP6 SNR57
SFP1 SNR58
CST6 SNR59
GCR1 SNR59
HSF1 SNR59
RAP1 SNR59
REB1 SNR59
SFP1 SNR59
SPT10 SNR59
SPT10 SNR59
SPT20 SNR59
ABF1 SNR61
GCR2 SNR61
GLN3 SNR61
SPT2 SNR61
TEC1 SNR61
YAP6 SNR61
SPT10 SNR63
GCN4 SNR64
SPT10 SNR64
RAP1 SNR66
SPT10 SNR66
RLM1 SNR67
ABF1 SNR68
SPT10 SNR68
HAP1 SNR69
SPT2 SNR69
REB1 SNR70
SPT10 SNR72
SPT10 SNR73
SPT10 SNR75
SPT10 SNR76
SWI5 SNR79
LEU3 SNR8
REB1 SNR83
MBP1 SNR84
MCM1 SNR84
NDD1 SNR84
SWI6 SNR84
SPT10 SUC4
RAP1 YNL216W
