Source Target
Tkt Tpi
GmuB GmuA
GmuB GmuC
SpoIIIAH SpoIIQ
SpoIIIAH SpoIIIAG
SpoIIIAH GerM
Smc Smc
Smc ScpA
Smc ScpB
Smc ParB
CsfB CsfB
CsfB SigE
CsfB SigG
OdhB OdhA
OdhB Icd
OdhB PdhD
RplD RpmE
RplD RpsN
RplD RplQ
RplD RplU
RplD RplGB
RplD RplF
RplD RplN
RplD Ctc
RplD RplA
RplD RpmA
RplD RpmC
RplD RplS
RplD RpmGC
RplD RplI
RplD RplJ
RplD RplW
RplD RpsNB
RplD RplX
RplD RpmI
RplD RplT
RplD RpmD
RplD RpmF
RplD RplB
RplD RpmB
RplD RplR
RplD RplM
RplD RpmGB
RplD RplO
RplD MifM
RplD RplP
RplD RpmGA
RplD RpmEB
RplD RplL
RplD RpmH
RplD RplE
RplD RplV
RplD RpmJ
RplD RplK
RplD RplC
LytS LytT
QoxD QoxA
QoxD QoxB
QoxD QoxC
Sco CtaC
RpmE RpmE
RpmE RpsN
RpmE RplQ
RpmE RplU
RpmE RplGB
RpmE RplF
RpmE RplN
RpmE Ctc
RpmE RplA
RpmE RpmA
RpmE RpmC
RpmE RplS
RpmE RpmGC
RpmE RplI
RpmE RplJ
RpmE RplW
RpmE RpsNB
RpmE RplX
RpmE RpmI
RpmE RplT
RpmE RpmD
RpmE RpmF
RpmE RplB
RpmE RpmB
RpmE RplR
RpmE RplM
RpmE RpmGB
RpmE RplO
RpmE RplP
RpmE RpsM
RpmE RpmGA
RpmE RpmEB
RpmE RplL
RpmE RpmH
RpmE RplE
RpmE RplV
RpmE RpmJ
RpmE RplK
RpmE RplC
SirA DnaA
LnrJ LnrK
DegS DegQ
DegS DegU
MetQ McpC
MetQ MetN
MetQ MetP
ComFC ComFA
MrpD MrpF
MrpD MrpB
MrpD MrpG
MrpD MrpE
MrpD MrpC
MrpD MrpA
NdoAI NdoA
OppD OppA
OppD OppF
OppD OppB
OppD OppC
AmyD AmyC
AmyD MsmE
PtsA PtsH
DppB DppD
DppB DppE
DppB YkfD
DppB DppC
WalH WalK
WalH WalI
CsbC TatCD
CsbC TatAD
LnrM LnrL
LnrM LnrN
YmaD YmaD
RsiO SigO
SigM YhdL
SigM RpoC
SigM RpoB
AppA/2 AppC
AppA/2 AppD
AppA/2 AppF
AppA/2 AppB
YosP NrdEB
ComK MecA
MciZ FtsZ
BceS BceR
BceS BceB
YkuN Des
YkuN BioI
